PARTY,COUNTY NAME,TOTAL VOTES
DEMOCRATIC,SAN AUGUSTINE,980
REPUBLICAN,SAN AUGUSTINE,"3,007"
DEMOCRATIC,SAN JACINTO,"2,337"
REPUBLICAN,SAN JACINTO,"10,161"
DEMOCRATIC,SAN PATRICIO,"8,988"
REPUBLICAN,SAN PATRICIO,"16,516"
DEMOCRATIC,SAN SABA,287
REPUBLICAN,SAN SABA,"2,308"
DEMOCRATIC,SCHLEICHER,211
REPUBLICAN,SCHLEICHER,940
DEMOCRATIC,SCURRY,818
REPUBLICAN,SCURRY,"4,983"
DEMOCRATIC,SHACKELFORD,130
REPUBLICAN,SHACKELFORD,"1,484"
DEMOCRATIC,SHELBY,"2,068"
REPUBLICAN,SHELBY,"7,975"
DEMOCRATIC,SHERMAN,91
REPUBLICAN,SHERMAN,886
DEMOCRATIC,SMITH,"29,615"
REPUBLICAN,SMITH,"69,080"
DEMOCRATIC,SOMERVELL,768
REPUBLICAN,SOMERVELL,"4,105"
DEMOCRATIC,STARR,"9,123"
REPUBLICAN,STARR,"8,247"
DEMOCRATIC,STEPHENS,397
REPUBLICAN,STEPHENS,"3,385"
DEMOCRATIC,STERLING,51
REPUBLICAN,STERLING,584
DEMOCRATIC,STONEWALL,116
REPUBLICAN,STONEWALL,615
DEMOCRATIC,SUTTON,322
REPUBLICAN,SUTTON,"1,222"
DEMOCRATIC,SWISHER,478
REPUBLICAN,SWISHER,"1,845"
DEMOCRATIC,TARRANT,"411,567"
REPUBLICAN,TARRANT,"409,741"
DEMOCRATIC,TAYLOR,"14,588"
REPUBLICAN,TAYLOR,"39,547"
DEMOCRATIC,TERRELL,119
REPUBLICAN,TERRELL,334
DEMOCRATIC,TERRY,757
REPUBLICAN,TERRY,"2,812"
DEMOCRATIC,THROCKMORTON,82
REPUBLICAN,THROCKMORTON,806
DEMOCRATIC,TITUS,"2,856"
REPUBLICAN,TITUS,"7,570"
DEMOCRATIC,TOM GREEN,"12,239"
REPUBLICAN,TOM GREEN,"32,313"
DEMOCRATIC,TRAVIS,"435,860"
REPUBLICAN,TRAVIS,"161,337"
DEMOCRATIC,TRINITY,"1,323"
REPUBLICAN,TRINITY,"5,579"
DEMOCRATIC,TYLER,"1,403"
REPUBLICAN,TYLER,"8,194"
DEMOCRATIC,UPSHUR,"2,877"
REPUBLICAN,UPSHUR,"15,809"
DEMOCRATIC,UPTON,170
REPUBLICAN,UPTON,"1,178"
DEMOCRATIC,UVALDE,"4,073"
REPUBLICAN,UVALDE,"6,174"
DEMOCRATIC,VAL VERDE,"6,771"
REPUBLICAN,VAL VERDE,"8,284"
DEMOCRATIC,VAN ZANDT,"3,516"
REPUBLICAN,VAN ZANDT,"22,270"
DEMOCRATIC,VICTORIA,"10,380"
REPUBLICAN,VICTORIA,"23,358"
DEMOCRATIC,WALKER,"7,884"
REPUBLICAN,WALKER,"15,375"
DEMOCRATIC,WALLER,"8,191"
REPUBLICAN,WALLER,"14,260"
DEMOCRATIC,WARD,764
REPUBLICAN,WARD,"3,241"
DEMOCRATIC,WASHINGTON,"4,261"
REPUBLICAN,WASHINGTON,"12,959"
DEMOCRATIC,WEBB,"41,820"
REPUBLICAN,WEBB,"25,898"
DEMOCRATIC,WHARTON,"4,694"
REPUBLICAN,WHARTON,"11,926"
DEMOCRATIC,WHEELER,168
REPUBLICAN,WHEELER,"2,159"
DEMOCRATIC,WICHITA,"13,161"
REPUBLICAN,WICHITA,"32,069"
DEMOCRATIC,WILBARGER,956
REPUBLICAN,WILBARGER,"3,524"
DEMOCRATIC,WILLACY,"3,108"
REPUBLICAN,WILLACY,"2,441"
DEMOCRATIC,WILLIAMSON,"143,795"
REPUBLICAN,WILLIAMSON,"139,729"
DEMOCRATIC,WILSON,"6,350"
REPUBLICAN,WILSON,"18,463"
DEMOCRATIC,WINKLER,358
REPUBLICAN,WINKLER,"1,753"
DEMOCRATIC,WISE,"4,973"
REPUBLICAN,WISE,"27,032"
DEMOCRATIC,WOOD,"3,509"
REPUBLICAN,WOOD,"19,049"
DEMOCRATIC,YOAKUM,420
REPUBLICAN,YOAKUM,"2,174"
DEMOCRATIC,YOUNG,"1,034"
REPUBLICAN,YOUNG,"7,110"
DEMOCRATIC,ZAPATA,"1,826"
REPUBLICAN,ZAPATA,"2,033"
DEMOCRATIC,ZAVALA,"2,864"
REPUBLICAN,ZAVALA,"1,490"
