,County,Donald TrumpRepublican,Donald TrumpRepublican,Joe BidenDemocratic,Joe BidenDemocratic,Jo JorgensenLibertarian,Jo JorgensenLibertarian,Howie HawkinsGreen,Howie HawkinsGreen,Other votes,Other votes,Totalvotes
,County,%,#,%,#,%,#,%,#,%,#,Totalvotes
156,Mason,80.48%,1991,18.47%,457,0.77%,19,0.08%,2,0.20%,5,2474
157,Matagorda,71.72%,9845,27.19%,3733,0.84%,115,0.24%,33,0.01%,1,13727
158,Maverick,44.84%,6881,54.29%,8332,0.48%,73,0.39%,60,0.00%,0,15346
159,McCulloch,84.52%,2904,14.26%,490,1.05%,36,0.17%,6,0.00%,0,3436
160,McLennan,60.84%,59543,37.49%,36688,1.33%,1297,0.25%,243,0.10%,101,97872
161,McMullen,89.15%,460,10.27%,53,0.39%,2,0.19%,1,0.00%,0,516
162,Medina,69.04%,15642,29.89%,6773,0.81%,184,0.20%,45,0.06%,13,22657
163,Menard,80.06%,823,19.16%,197,0.58%,6,0.19%,2,0.00%,0,1028
164,Midland,77.34%,45624,20.90%,12329,1.32%,777,0.21%,126,0.22%,132,58988
165,Milam,75.48%,7984,23.60%,2496,0.68%,72,0.23%,24,0.02%,2,10578
166,Mills,88.50%,2217,10.82%,271,0.60%,15,0.08%,2,0.00%,0,2505
167,Mitchell,84.14%,2170,15.39%,397,0.43%,11,0.04%,1,0.00%,0,2579
168,Montague,87.74%,8615,11.17%,1097,0.79%,78,0.24%,24,0.05%,5,9819
169,Montgomery,71.22%,193382,27.39%,74377,1.17%,3166,0.19%,526,0.03%,92,271543
170,Moore,79.14%,4359,19.28%,1062,1.20%,66,0.38%,21,0.00%,0,5508
171,Morris,69.30%,3872,29.87%,1669,0.64%,36,0.18%,10,0.00%,0,5587
172,Motley,92.64%,604,7.06%,46,0.31%,2,0.00%,0,0.00%,0,652
173,Nacogdoches,64.88%,17378,33.60%,9000,1.13%,302,0.31%,83,0.08%,22,26785
174,Navarro,72.16%,13800,26.67%,5101,0.87%,167,0.28%,53,0.01%,2,19123
175,Newton,80.11%,4882,19.25%,1173,0.56%,34,0.08%,5,0.00%,0,6094
176,Nolan,77.11%,4131,21.69%,1162,0.99%,53,0.19%,10,0.02%,1,5357
177,Nueces,50.75%,64617,47.85%,60925,1.10%,1404,0.29%,368,0.01%,8,127322
178,Ochiltree,89.10%,2812,9.57%,302,1.17%,37,0.10%,3,0.06%,2,3156
179,Oldham,90.88%,917,8.03%,81,0.99%,10,0.10%,1,0.00%,0,1009
180,Orange,81.09%,29186,17.66%,6357,1.04%,376,0.14%,51,0.06%,24,35994
181,Palo Pinto,81.50%,10179,17.44%,2178,0.81%,101,0.22%,27,0.04%,4,12489
182,Panola,81.44%,9326,17.96%,2057,0.50%,57,0.10%,11,0.00%,0,11451
183,Parker,81.50%,62045,17.10%,13017,1.16%,880,0.21%,158,0.04%,28,76128
184,Parmer,80.57%,2135,18.42%,488,0.87%,23,0.15%,4,0.00%,0,2650
185,Pecos,68.87%,3215,29.61%,1382,1.07%,50,0.45%,21,0.00%,0,4668
186,Polk,76.79%,18573,22.27%,5387,0.71%,171,0.21%,50,0.02%,5,24186
187,Potter,68.45%,22820,29.76%,9921,1.36%,454,0.38%,126,0.05%,16,33337
188,Presidio,32.52%,721,65.99%,1463,0.95%,21,0.54%,12,0.00%,0,2217
189,Rains,85.16%,5155,13.91%,842,0.71%,43,0.21%,13,0.00%,0,6053
190,Randall,78.54%,50796,19.79%,12802,1.41%,910,0.20%,129,0.06%,37,64674
191,Reagan,83.81%,942,15.30%,172,0.62%,7,0.27%,3,0.00%,0,1124
192,Real,82.90%,1643,16.15%,320,0.71%,14,0.25%,5,0.00%,0,1982
193,Red River,77.80%,4517,21.46%,1246,0.62%,36,0.12%,7,0.00%,0,5806
194,Reeves,61.10%,2254,37.82%,1395,0.81%,30,0.22%,8,0.05%,2,3689
195,Refugio,65.66%,2210,32.92%,1108,0.77%,26,0.62%,21,0.03%,1,3366
196,Roberts,96.18%,529,3.09%,17,0.73%,4,0.00%,0,0.00%,0,550
197,Robertson,69.71%,5646,29.31%,2374,0.81%,66,0.16%,13,0.00%,0,8099
198,Rockwall,68.15%,36726,30.45%,16412,1.13%,611,0.22%,121,0.04%,21,53891
199,Runnels,86.35%,3807,12.52%,552,0.88%,39,0.25%,11,0.00%,0,4409
200,Rusk,77.34%,16534,21.65%,4629,0.73%,155,0.23%,50,0.04%,9,21377
201,Sabine,87.12%,4784,12.18%,669,0.49%,27,0.13%,7,0.07%,4,5491
202,San Augustine,75.14%,3007,24.49%,980,0.32%,13,0.05%,2,0.00%,0,4002
203,San Jacinto,80.39%,10161,18.49%,2337,0.80%,101,0.31%,39,0.02%,2,12640
204,San Patricio,63.79%,16516,34.71%,8988,1.12%,291,0.36%,93,0.01%,3,25891
205,San Saba,88.70%,2308,11.03%,287,0.27%,7,0.00%,0,0.00%,0,2602
206,Schleicher,81.10%,940,18.21%,211,0.52%,6,0.17%,2,0.00%,0,1159
207,Scurry,84.89%,4983,13.94%,818,0.90%,53,0.26%,15,0.02%,1,5870
208,Shackelford,91.15%,1484,7.99%,130,0.61%,10,0.25%,4,0.00%,0,1628
209,Shelby,79.06%,7975,20.50%,2068,0.37%,37,0.04%,4,0.03%,3,10087
210,Sherman,89.31%,886,9.17%,91,0.91%,9,0.50%,5,0.10%,1,992
211,Smith,68.85%,69080,29.52%,29615,1.12%,1126,0.25%,254,0.26%,259,100334
212,Somervell,82.98%,4105,15.52%,768,1.13%,56,0.20%,10,0.16%,8,4947
213,Starr,47.06%,8247,52.06%,9123,0.52%,92,0.36%,63,0.00%,0,17525
214,Stephens,88.96%,3385,10.43%,397,0.42%,16,0.05%,2,0.13%,5,3805
215,Sterling,91.39%,584,7.98%,51,0.47%,3,0.16%,1,0.00%,0,639
216,Stonewall,83.56%,615,15.76%,116,0.54%,4,0.14%,1,0.00%,0,736
217,Sutton,78.48%,1222,20.68%,322,0.58%,9,0.26%,4,0.00%,0,1557
218,Swisher,78.34%,1845,20.30%,478,0.93%,22,0.42%,10,0.00%,0,2355
219,Tarrant,49.09%,409741,49.31%,411567,1.24%,10368,0.31%,2617,0.05%,404,834697
220,Taylor,71.73%,39547,26.46%,14588,1.50%,827,0.27%,150,0.04%,23,55135
221,Terrell,72.93%,334,25.98%,119,0.66%,3,0.44%,2,0.00%,0,458
222,Terry,77.85%,2812,20.96%,757,0.91%,33,0.28%,10,0.00%,0,3612
223,Throckmorton,90.16%,806,9.17%,82,0.56%,5,0.11%,1,0.00%,0,894
224,Titus,71.81%,7570,27.09%,2856,0.89%,94,0.18%,19,0.02%,2,10541
225,Tom Green,71.47%,32313,27.07%,12239,1.21%,546,0.21%,96,0.03%,16,45210
226,Travis,26.43%,161337,71.41%,435860,1.46%,8905,0.34%,2094,0.36%,2153,610349
227,Trinity,80.41%,5579,19.07%,1323,0.36%,25,0.16%,11,0.00%,0,6938
228,Tyler,84.82%,8194,14.52%,1403,0.54%,52,0.11%,11,0.00%,0,9660
229,Upshur,83.56%,15809,15.21%,2877,0.95%,179,0.12%,22,0.18%,32,18919
230,Upton,86.11%,1178,12.43%,170,0.95%,13,0.51%,7,0.00%,0,1368
231,Uvalde,59.69%,6174,39.38%,4073,0.64%,66,0.28%,29,0.02%,2,10344
232,Val Verde,54.21%,8284,44.31%,6771,1.11%,170,0.31%,47,0.05%,8,15280
233,Van Zandt,85.56%,22270,13.51%,3516,0.67%,175,0.13%,33,0.13%,35,26029
234,Victoria,68.25%,23358,30.33%,10380,0.99%,339,0.30%,103,0.13%,46,34226
235,Walker,65.12%,15375,33.39%,7884,1.22%,287,0.27%,63,0.01%,3,23612
236,Waller,62.73%,14260,36.03%,8191,0.88%,201,0.36%,82,0.00%,0,22734
237,Ward,79.83%,3241,18.82%,764,0.71%,29,0.64%,26,0.00%,0,4060
238,Washington,74.27%,12959,24.42%,4261,1.02%,178,0.11%,20,0.18%,31,17449
239,Webb,37.80%,25898,61.05%,41820,0.65%,446,0.34%,233,0.16%,109,68506
240,Wharton,71.15%,11926,28.01%,4694,0.63%,105,0.21%,36,0.00%,0,16761
241,Wheeler,92.38%,2159,7.19%,168,0.30%,7,0.13%,3,0.00%,0,2337
242,Wichita,69.65%,32069,28.59%,13161,1.47%,675,0.27%,125,0.02%,10,46040
